"These Lake Michigan phytoplankton data are a portion of a much larger dataset from all of the Laurention Great Lakes, and from additional years."										
"These data are available from Euan Reavie: _Natural Resources Research Institute, University of Minnesota Duluth, 5013 Miller Trunk Hwy, Duluth, MN 55811; _e_mail ereavie@d.umn.edu"										
num	year	lake	Season	DIV	station	sampletype	celltally	cellsperml	biovol	biovolperind
37012	2007	MI	1	1	1	1	2	0.09	75.57	829.38
37013	2007	MI	1	1	1	1	2	0.09	49.09	538.78
37017	2007	MI	1	1	1	1	1	0.05	8.34	183
37018	2007	MI	1	1	1	1	1	0.05	3.51	76.97
37019	2007	MI	1	1	1	1	3	0.14	1.29	9.45
37020	2007	MI	1	1	1	1	1	0.05	6.13	134.66
37021	2007	MI	1	1	1	1	1	0.05	125.38	2752.09
37022	2007	MI	1	1	1	1	5	0.23	70.16	307.98
37023	2007	MI	1	1	1	1	3	0.14	24.97	182.71
37036	2007	MI	1	1	1	1	1	0.89	296.32	331.34
37037	2007	MI	1	1	1	1	6	5.37	1149	214.13
37041	2007	MI	1	1	1	1	14	0.64	1662.82	2876.59
37042	2007	MI	1	1	1	1	31	1.41	330.55	234.05
37043	2007	MI	1	1	1	1	32	1.46	113.25	77.68
37044	2007	MI	1	1	1	1	433	19.73	1540.13	78.07
37045	2007	MI	1	1	1	1	1	0.05	206.17	4525.37
37011	2007	MI	1	2	1	1	10	7.92	5606.08	707.76
37024	2007	MI	1	2	1	1	3	2.38	2186.48	920.13
37025	2007	MI	1	2	1	1	30	23.76	9499.18	399.75
37026	2007	MI	1	2	1	1	1	0.79	105.81	133.58
37030	2007	MI	1	2	1	1	1	0.79	239.9	302.87
37031	2007	MI	1	2	1	1	1	0.79	49.96	63.07
37032	2007	MI	1	2	1	1	1	0.79	496.18	626.42
37046	2007	MI	1	2	1	1	3	2.38	323.2	136.01
37047	2007	MI	1	2	1	1	1	0.79	130.02	164.15
37048	2007	MI	1	2	1	1	1	0.79	63.86	80.63
37049	2007	MI	1	2	1	1	9	7.13	2180.03	305.8
37050	2007	MI	1	2	1	1	6	4.75	1792.16	377.09
37051	2007	MI	1	2	1	1	2	1.58	7199.73	4544.75
37052	2007	MI	1	2	1	1	1	0.79	2061.85	2603.04
37009	2007	MI	1	3	1	1	16	14.31	1213.2	84.79
37027	2007	MI	1	3	1	1	16	14.31	7492.08	523.6
37033	2007	MI	1	3	1	1	1	0.89	448.13	501.1
37040	2007	MI	1	3	1	1	2	1.79	98.77	55.22
