 Total Nb of available Diagnostics: ndiagt= 333
------------------------------------------------------------------------
 Num |<-Name->|Levs|<-parsing code->|<--  Units   -->|<- Tile (max=80c) 
------------------------------------------------------------------------
   1 |SDIAG1  |  1 |SM      L1      |user-defined    |User-Defined Surface   Diagnostic #1
   2 |SDIAG2  |  1 |SM      L1      |user-defined    |User-Defined Surface   Diagnostic #2
   3 |SDIAG3  |  1 |SM      L1      |user-defined    |User-Defined Surface   Diagnostic #3
   4 |TNDyTr19| 29 |SM      ML      |mmol/m3/sec     |ALK tendency due to merid advect
   5 |TNDxTr19| 29 |SM      ML      |mmol/m3/se      |alk tendency due to zonal advect
   6 |TNDyTr13| 29 |SM      ML      |mmol/m3/sec     |DIC tendency due to merid advect
   7 |TNDxTr13| 29 |SM      ML      |mmol/m3/s       |DIC tendency due to zonal advect
   8 |TRxTr19 | 29 |SM      ML      |concen*m3/s     |zonal transport * ALK concentration
   9 |TRyTr19 | 29 |SM      ML      |concen*m3/s     |merid transport * ALK concent
  10 |TNRTr19 | 29 |SM      ML      |concentration/s |tendency of alk due to vert advect
  11 |TRxTr13 | 29 |SM      ML      |mmol/m3 * m3/s  |zonal tranport * DIC concentration
  12 |TRyTr13 | 29 |SM      ML      |mmol/m3 * m3/sec|merid transport * DIC concentration
  13 |TNRTr13 | 29 |SM      ML      |mmol/m3/sec     |tendency due to vert advect
  14 |REMDIC  | 29 |SM      ML      |mmol DIC /m3/s  |tendency due to remineralization
  15 |BIODIC1 | 29 |SM      ML      |mmol DIC/m3/s   |tendency due to small phyto growth
  16 |BIODIC2 | 29 |SM      ML      |mmol /m3 /s     |tendency due to diatom growth
  17 |PICALK  | 29 |SM      ML      |mmol equiv/m3/s |tendency of alk due to pic tendency
  18 |PHY1ALK | 29 |SM      ML      |mmol/m3/s       |tendency of alk due to phy1 uptake
  19 |PHY2ALK | 29 |SM      ML      |mmol/m3/s       |tendency of alk due to phy2 uptake
  20 |REMALK  | 29 |SM      ML      |mmol/m3/sec     |tendency of alk due to remin of DON
  21 |SDIAGC  |  1 |SM  C022L1      |user-defined    |User-Defined Counted Surface Diagnostic
  22 |VALK    |  1 |SM      L1      |mmol eq / m3 / s|Tendency of ALK due to air-sea
  23 |ETAN    |  1 |SM      M1      |m               |Perturbation of Surface (pressure, height) (Pa,m)
  24 |ETANSQ  |  1 |SM      M1      |m^2             |Square of Perturbation of Sfc position (r_unit^2)
  25 |DETADT2 |  1 |SM      M1      |m^2/s^2         |Square of Eta (Surf.P,SSH) Tendency ((r_unit/s)^2)
  26 |THETA   | 29 |SM      MR      |degC            |Potential Temperature (degC,K)
  27 |SALT    | 29 |SM      MR      |psu             |Salt or Water Vapor mixing ratio
  28 |RELHUM  | 29 |SM      MR      |percent         |Relative Humidity
  29 |SALTanom| 29 |SM      MR      |psu             |Salt anomaly (=SALT-35; g/kg)
  30 |UVEL    | 29 |UU   031MR      |m/s             |Zonal Component of Velocity (m/s)
  31 |VVEL    | 29 |VV   030MR      |m/s             |Meridional Component of Velocity (m/s)
  32 |WVEL    | 29 |WM      LR      |m/s             |Vertical Component of Velocity (r_units/s)
  33 |THETASQ | 29 |SM      MR      |degC^2          |Square of Potential Temperature (K^2)
  34 |SALTSQ  | 29 |SM      MR      |(psu)^2         |Square of Salt or Water Vapor mix rat (g^2/kg^2)
  35 |SALTSQan| 29 |SM      MR      |(psu)^2         |Square of Salt anomaly (=(SALT-35)^2 (g^2/kg^2)
  36 |UVELSQ  | 29 |UU   037MR      |m^2/s^2         |Square of Zonal Comp of Velocity (m^2/s^2)
  37 |VVELSQ  | 29 |VV   036MR      |m^2/s^2         |Square of Meridional Comp of Velocity (m^2/s^2)
  38 |WVELSQ  | 29 |WM      LR      |m^2/s^2         |Square of Vertical Comp of Velocity (m^2/s^2)
  39 |UV_VEL_C| 29 |UM   039MR      |m^2/s^2         |Product of horizontal Comp of velocity (cell center)
  40 |UV_VEL_Z| 29 |UZ   040MR      |m^2/s^2         |Meridional Transport of Zonal Momentum (m^2/s^2)
  41 |WU_VEL  | 29 |WU      LR      |m.m/s^2         |Vertical Transport of Zonal Momentum (m^2/s^2)
  42 |WV_VEL  | 29 |WV      LR      |m.m/s^2         |Vertical Transport of Meridional Momentum (m^2/s^2)
  43 |UVELMASS| 29 |UU   044MR      |m/s             |Zonal Mass-Weighted Comp of Velocity (m/s)
  44 |VVELMASS| 29 |VV   043MR      |m/s             |Meridional Mass-Weighted Comp of Velocity (m/s)
  45 |WVELMASS| 29 |WM      LR      |m/s             |Vertical Mass-Weighted Comp of Velocity (m/s)
  46 |UTHMASS | 29 |UU   047MR      |degC.m/s        |Zonal Mass-Weight Transp of Pot Temp (K.m/s)
  47 |VTHMASS | 29 |VV   046MR      |degC.m/s        |Meridional Mass-Weight Transp of Pot Temp (K.m/s)
  48 |WTHMASS | 29 |WM      LR      |degC.m/s        |Vertical Mass-Weight Transp of Pot Temp (K.m/s)
  49 |USLTMASS| 29 |UU   050MR      |psu.m/s         |Zonal Mass-Weight Transp of Salt
  50 |VSLTMASS| 29 |VV   049MR      |psu.m/s         |Meridional Mass-Weight Transp of Salt
  51 |WSLTMASS| 29 |WM      LR      |psu.m/s         |Vertical Mass-Weight Transp of Salt
  52 |UVELTH  | 29 |UU   053MR      |degC.m/s        |Zonal Transp of Pot Temp (K.m/s)
  53 |VVELTH  | 29 |VV   052MR      |degC.m/s        |Meridional Transp of Pot Temp (K.m/s)
  54 |WVELTH  | 29 |WM      LR      |degC.m/s        |Vertical Transp of Pot Temp (K.m/s)
  55 |UVELSLT | 29 |UU   056MR      |psu.m/s         |Zonal Transp of Salt
  56 |VVELSLT | 29 |VV   055MR      |psu.m/s         |Meridional Transp of Salt
  57 |WVELSLT | 29 |WM      LR      |psu.m/s         |Vertical Transp of Salt
  58 |UVELPHI | 29 |UU   059MR      |m^3/s^3         |Zonal Transp of Geopotential Height (m2/s2.m/s)
  59 |VVELPHI | 29 |VV   058MR      |m^3/s^3         |Meridional Transp of Geopotential Height (m2/s2.m/s)
  60 |RHOAnoma| 29 |SM      MR      |kg/m^3          |Density Anomaly (=Rho-rhoConst)
  61 |RHOANOSQ| 29 |SM      MR      |kg^2/m^6        |Square of Density Anomaly (=(Rho-rhoConst)^2)
  62 |URHOMASS| 29 |UU   063MR      |kg/m^2/s        |Zonal Transport of Density
  63 |VRHOMASS| 29 |VV   062MR      |kg/m^2/s        |Meridional Transport of Density
  64 |WRHOMASS| 29 |WM      LR      |kg/m^2/s        |Vertical Transport of Potential Density
  65 |PHIHYD  | 29 |SM      MR      |m^2/s^2         |Hydrostatic (ocean) pressure / (atmos) geo-Potential
  66 |PHIHYDSQ| 29 |SM      MR      |m^4/s^4         |Square of Hyd. (ocean) press / (atmos) geoPotential
  67 |PHIBOT  |  1 |SM      M1      |m^2/s^2         |ocean bottom pressure / top. atmos geo-Potential
  68 |PHIBOTSQ|  1 |SM      M1      |m^4/s^4         |Square of ocean bottom pressure / top. geo-Potential
  69 |DRHODR  | 29 |SM      LR      |kg/m^4          |Stratification: d.Sigma/dr (kg/m3/r_unit)
  70 |CONVADJ | 29 |SM      LR      |fraction        |Convective Adjustment Index [0-1]
  71 |TAUX    |  1 |SU      U1      |N/m^2           |zonal surface wind stress, >0 increases uVel
  72 |TAUY    |  1 |SV      U1      |N/m^2           |meridional surf. wind stress, >0 increases vVel
  73 |TFLUX   |  1 |SM      U1      |W/m^2           |net surface heat flux, >0 increases theta
  74 |TRELAX  |  1 |SM      U1      |W/m^2           |surface temperature relaxation, >0 increases theta
  75 |TICE    |  1 |SM      U1      |W/m^2           |heat from melt/freeze of sea-ice, >0 increases theta
  76 |SFLUX   |  1 |SM      U1      |g/m^2/s         |net surface salt flux, >0 increases salt
  77 |SRELAX  |  1 |SM      U1      |g/m^2/s         |surface salinity relaxation, >0 increases salt
  78 |SWFLUX  |  1 |SM      U1      |W/m^2           |net upward SW radiation, >0 increases theta
  79 |PRESSURE| 29 |SM      MR      |m               |Atmospheric Pressure (Pa)
  80 |RSURF   |  1 |SM      M1      |m               |Surface (Pressure, Height) (Pa,m)
  81 |TOTUTEND| 29 |UU   082MR      |m/s^2           |Tendency of Zonal Component of Velocity (m/s^2)
  82 |TOTVTEND| 29 |VV   081MR      |m/s^2           |Tendency of Meridional Component of Velocity (m/s^2)
  83 |TOTTTEND| 29 |SM      MR      |deg K/sec       |Tendency of Potential Temperature (degC,K)
  84 |TOTSTEND| 29 |SM      MR      |kg/kg-sec       |Tendency of Salt or Water Vapor mixing ratio
  85 |ADVr_TH | 29 |WM      LR      |degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
  86 |ADVx_TH | 29 |UU   087MR      |degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
  87 |ADVy_TH | 29 |VV   086MR      |degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
  88 |DFrE_TH | 29 |WM      LR      |degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
  89 |DIFx_TH | 29 |UU   090MR      |degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
  90 |DIFy_TH | 29 |VV   089MR      |degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
  91 |DFrI_TH | 29 |WM      LR      |degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
  92 |ADVr_SLT| 29 |WM      LR      |psu.m^3/s       |Vertical   Advective Flux of Salinity
  93 |ADVx_SLT| 29 |UU   094MR      |psu.m^3/s       |Zonal      Advective Flux of Salinity
  94 |ADVy_SLT| 29 |VV   093MR      |psu.m^3/s       |Meridional Advective Flux of Salinity
  95 |DFrE_SLT| 29 |WM      LR      |psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
  96 |DIFx_SLT| 29 |UU   097MR      |psu.m^3/s       |Zonal      Diffusive Flux of Salinity
  97 |DIFy_SLT| 29 |VV   096MR      |psu.m^3/s       |Meridional Diffusive Flux of Salinity
  98 |DFrI_SLT| 29 |WM      LR      |psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
